entity,num_types,types
cracked,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'PROCESS' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
bruised,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
ears,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'UNIT' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD']"
popped,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
strands,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'UNIT' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD']"
extra virgin,2,['FOOD' 'PHYSICAL_QUALITY' 'FOOD' 'FOOD']
full-fat,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
julienned,2,['PROCESS' 'FOOD']
sprays,2,['FOOD' 'FOOD' 'UNIT' 'FOOD']
strong,2,['FOOD' 'TASTE' 'FOOD' 'FOOD']
drumsticks,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'PART' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
bean,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'UNIT'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
handful,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'UNIT' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
baby,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
cooled,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
elbow,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
minced,2,['PROCESS' 'FOOD']
smashed,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
spears,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'UNIT'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD']"
packet,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'UNIT' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
medium,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
unbleached,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
fettuccine,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
trimmed,2,['FOOD' 'FOOD' 'FOOD' 'PROCESS']
very hot,2,['FOOD' 'PHYSICAL_QUALITY' 'FOOD']
green,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'COLOR'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
drained,2,['FOOD' 'FOOD' 'PROCESS' 'FOOD']
cups,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'UNIT' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
seeded,2,['PROCESS' 'FOOD']
creamed,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
rashers,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'UNIT' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD']"
reserved,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
boneless,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD']"
sheets,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'UNIT' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
beaten,2,['FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']
smoked,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD']"
bone-in,2,['FOOD' 'FOOD' 'PHYSICAL_QUALITY']
spicy,2,['FOOD' 'TASTE' 'FOOD']
thick slice,2,['PHYSICAL_QUALITY' 'FOOD']
crunchy,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
flaked,2,['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS']
low-fat,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PHYSICAL_QUALITY'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD']"
large,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
piece,2,['UNIT' 'FOOD' 'FOOD']
purple,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'COLOR' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
more,2,['FOOD' 'QUANTITY']
split,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD']"
freshly,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD']"
snipped,2,['PROCESS' 'FOOD' 'FOOD' 'FOOD']
crispy fried,2,['PROCESS' 'FOOD' 'FOOD']
wings,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PART' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
short grain,2,['FOOD' 'FOOD' 'FOOD' 'FOOD' 'PHYSICAL_QUALITY' 'FOOD']
natural,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
',2,['UNIT' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']
salted peanuts,2,['TASTE' 'FOOD']
wash,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD']"
creamy,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD']"
juice reserved,2,['FOOD' 'FOOD' 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD']
cup,2,['UNIT' 'FOOD' 'FOOD']
dark,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'COLOR' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD']"
steamed,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
unbaked,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
shaved,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS' 'FOOD'
 'FOOD' 'FOOD' 'FOOD']"
container,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'UNIT' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
brisket,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PART' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD']"
mashed,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'PROCESS' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
ripe,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PHYSICAL_QUALITY' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD']"
freshly ground,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PROCESS' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
strips,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'UNIT' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD']"
cutlets,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'PART' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'FOOD' 'FOOD' 'FOOD']"
fully cooked,2,"['FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD'
 'PROCESS' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD' 'FOOD']"
